filename,relative_path,directory,size_bytes,last_modified,is_recent,is_today,status,notes,active_score,inactive_score,uncertain_score,import_count,function_count,class_count,line_count
s3_session_manager.py,tidyllm\deprecated\session_management\vectorqa\s3_session_manager.py,tidyllm\deprecated\session_management\vectorqa,28001,2025-09-05 01:33:31,True,True,uncertain,uncertain_patterns:1,1,0,1,8,3,4,671
production_tracking_drop_zones_old_boto3.py,tidyllm\deprecated\session_management\production_tracking_drop_zones_old_boto3.py,tidyllm\deprecated\session_management,51673,2025-09-05 01:28:50,True,True,uncertain,uncertain_patterns:1,2,0,1,10,2,1,1172
unified_credential_setup.py,scripts\unified_credential_setup.py,scripts,12795,2025-09-05 01:22:30,True,True,uncertain,uncertain_patterns:2,4,0,2,6,1,1,318
test_config.py,tidyllm\admin\test_config.py,tidyllm\admin,23037,2025-09-05 00:56:58,True,True,uncertain,test_file;uncertain_patterns:2,3,0,2,7,1,1,628
rudy_test_embeddings.py,rudy_test_embeddings.py,.,17983,2025-09-05 00:37:45,True,True,uncertain,test_file;uncertain_patterns:1,2,0,1,6,1,1,455
corporate_llm_gateway.py,tidyllm\gateways\corporate_llm_gateway.py,tidyllm\gateways,25669,2025-09-05 00:23:09,True,True,uncertain,standard,0,0,0,10,0,5,610
gateway_registry.py,tidyllm\gateways\gateway_registry.py,tidyllm\gateways,15872,2025-09-05 00:22:24,True,True,uncertain,standard,0,0,0,9,2,3,388
2_test_s3_aws.py,tests\2_test_s3_aws.py,tests,13375,2025-09-05 00:14:55,True,True,uncertain,test_file;uncertain_patterns:1,2,0,1,6,1,4,378
__init__.py,tidyllm\knowledge_resource_server\__init__.py,tidyllm\knowledge_resource_server,2664,2025-09-04 23:45:55,True,False,uncertain,no_functions_or_classes,0,0,0,4,0,0,70
interfaces.py,tidyllm\knowledge_resource_server\interfaces.py,tidyllm\knowledge_resource_server,2805,2025-09-04 23:45:33,True,False,uncertain,standard,0,0,0,4,0,2,83
file_storage_gateway.py,tidyllm\gateways\file_storage_gateway.py,tidyllm\gateways,13337,2025-09-04 23:41:57,True,False,uncertain,uncertain_patterns:1,0,0,1,8,0,3,356
database_gateway.py,tidyllm\gateways\database_gateway.py,tidyllm\gateways,22519,2025-09-04 23:41:31,True,False,uncertain,uncertain_patterns:1,0,0,1,6,0,3,574
workflow_optimizer_gateway.py,tidyllm\gateways\workflow_optimizer_gateway.py,tidyllm\gateways,21860,2025-09-04 23:40:51,True,False,uncertain,standard,0,0,0,8,0,5,523
base_gateway.py,tidyllm\gateways\base_gateway.py,tidyllm\gateways,8710,2025-09-04 23:40:16,True,False,uncertain,standard,0,0,0,6,0,4,273
__init__.py,tidyllm\gateways\__init__.py,tidyllm\gateways,5544,2025-09-04 23:38:27,True,False,uncertain,standard,0,0,0,8,3,0,148
dspy_coordinated_rag_system.py,tidyllm\deprecated\old-examples\dspy_coordinated_rag_system.py,tidyllm\deprecated\old-examples,57407,2025-09-04 23:00:43,True,False,uncertain,uncertain_patterns:1,3,0,1,9,5,11,1267
rag_demo_polars.py,tidyllm\deprecated\old-examples\rag_demo_polars.py,tidyllm\deprecated\old-examples,22267,2025-09-04 23:00:43,True,False,uncertain,demo;uncertain_patterns:1,3,0,1,8,8,1,543
config_manager.py,tidyllm\deprecated\old-tidyllm\admin\config_manager.py,tidyllm\deprecated\old-tidyllm\admin,10292,2025-09-04 23:00:43,True,False,uncertain,standard,0,0,0,8,3,8,305
gateway_control.py,tidyllm\deprecated\old-tidyllm\admin\gateway_control.py,tidyllm\deprecated\old-tidyllm\admin,11132,2025-09-04 23:00:43,True,False,uncertain,standard,0,0,0,6,2,5,316
advanced_mlflow.py,tidyllm\deprecated\old-tidyllm\advanced_mlflow.py,tidyllm\deprecated\old-tidyllm,30878,2025-09-04 23:00:43,True,False,uncertain,standard,1,0,0,13,7,10,771
api_server.py,tidyllm\deprecated\old-tidyllm\api_server.py,tidyllm\deprecated\old-tidyllm,22429,2025-09-04 23:00:43,True,False,uncertain,standard,0,0,0,13,0,9,531
attachments_enhanced.py,tidyllm\deprecated\old-tidyllm\attachments_enhanced.py,tidyllm\deprecated\old-tidyllm,15609,2025-09-04 23:00:43,True,False,uncertain,standard,0,0,0,6,6,5,396
analysis.py,tidyllm\deprecated\old-tidyllm\compliance\consistency\analysis.py,tidyllm\deprecated\old-tidyllm\compliance\consistency,8439,2025-09-04 23:00:43,True,False,uncertain,standard,0,0,0,2,0,1,180
